Project name,Data source,Core capacities,PHEICs (response funding),Funder,Funder type,"Funder including specific sub-organization, if any",Recipient,Recipient type,"Recipient including specific sub-organization, if any",Support type,Transaction year range,Amount committed,Amount disbursed,Response-specific transaction year range,Response-specific amount committed,Response-specific amount disbursed,Transaction currency
2021 COVID-19 EHEF Timor-Leste,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,New Zealand,Government,New Zealand,Timor-Leste,Government,Timor-Leste,Direct financial support,2021,,"90,636.79",2021,0.00,"90,636.79",USD
COVID-19 Fiji AirVo Consumables,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,New Zealand,Government,New Zealand,Fiji,Government,Fiji,Direct financial support,2021,,"70,262.46",2021,0.00,"70,262.46",USD
PLHIV COVID 19 PSA,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America,Lesotho,Government,Lesotho,Direct financial support,2020,,548.36,2020,0.00,548.36,USD
COVID-19 Health Preparedness & Response in South Sudan,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Medicos del Mundo,Organization,Medicos del Mundo,South Sudan,Government,South Sudan,Direct financial support,2020 - 2021,,"695,414.69",2020 - 2021,0.00,"695,414.69",USD
Mitigating the impact of COVID-19 on conflict-affected people in the South West and North West regions of Cameroon,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Cameroon,Government,Cameroon,Direct financial support,2020,,"392,326.70",2020,0.00,"392,326.70",USD
COVID-19  Protégeons les personnes les plus vulnérables,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Madagascar,Government,Madagascar,Direct financial support,2020,,"306,043.10",2020,0.00,"306,043.10",USD
COVID-19 Prevention and Response in Refugee Camps along Thai-Myanmar Border,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Thailand,Government,Thailand,Direct financial support,2020,,"239,096.18",2020,0.00,"239,096.18",USD
RENFORCEMENT DE LHOPITAL ST JOSEPH A KINSHASA POUR LA RIPOSTE AU COVID-19 DANS LE CADRE DUNE APPROCHE STRUCTURELLE DE RENFORCEMENT DU SYSTEME DE SANTE,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Democratic Republic of the Congo,Government,Democratic Republic of the Congo,Direct financial support,2020,,"3,108,250.28",2020,0.00,"3,108,250.28",USD
Renforcement des capacités de riposte du Ministère de la Santé du Burkina Faso au COVID-19,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Burkina Faso,Government,Burkina Faso,Direct financial support,2020,,"1,796,336.26",2020,0.00,"1,796,336.26",USD
Ensuring Government accountability of COVID-19 and improved freedom and access of information in Timor-Leste,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Timor-Leste,Government,Timor-Leste,Direct financial support,2020,,"136,909.94",2020,0.00,"136,909.94",USD
MOVILIZACION PARA HACER FRENTE A LA PANDEMIA COVID 19 EN NICARAGUA,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Nicaragua,Government,Nicaragua,Direct financial support,2020,,"255,911.75",2020,0.00,"255,911.75",USD
PROJETO DE APOIO À RESPOSTA À PANDEMIA DE COVID-19 NAS ESTRUTURAS DE REFERNCIA DA GUINÉ-BISSAU (PAR COVID),IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Guinea Bissau,Government,Guinea Bissau,Direct financial support,2020 - 2021,,"274,960.60",2020 - 2021,0.00,"274,960.60",USD
Supply and delivery of essential medicines and supplies to the Zambian Medical Stores Limited linked to the COVID-19 pandemic  Lots awarded to Yash Pharmaceuticals Limited,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Zambia,Government,Zambia,Direct financial support,2020,,"554,122.12",2020,0.00,"554,122.12",USD
Supply and delivery of essential medicines and supplies to the Zambian Medical Stores Limited linked to the COVID-19 pandemic  Lots awarded to Melcome Pharmaceuticals Limited,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Zambia,Government,Zambia,Direct financial support,2020,,"339,000.12",2020,0.00,"339,000.12",USD
"CSO-LA Thematic Programme - MAAP 2018-2020 - Décision 2019Ninas, Ninos, adolescente, jovenes y sus familias resilientes ante la emergencia sanitaria de COVID-19 en Nicaragua",IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Nicaragua,Government,Nicaragua,Direct financial support,2020,,"1,235,452.86",2020,0.00,"1,235,452.86",USD
Covid-19 Health Sector Emergency Response Support in Sri Lanka and the Maldives,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Sri Lanka,Government,Sri Lanka,Direct financial support,2021,,"120,021.08",2021,0.00,"120,021.08",USD
Riposte au COVID-19 au sein du Centre Hospitalier Universitaire Mère et Enfant Fondation Jeanne Ebori (CHUMEFJE),IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Gabon,Government,Gabon,Direct financial support,2020,,"95,620.30",2020,0.00,"95,620.30",USD
STrengthening the REsponse capacity And Mitigation of COVID-19 pandemic in Guinea Bissau (STREAM),IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Guinea Bissau,Government,Guinea Bissau,Direct financial support,2020,,"279,742.53",2020,0.00,"279,742.53",USD
"Increasing the participation of CSOs in preventing, addressing and/or mitigating Covid-19 related risks and vulnerabilities of Afghans living in the Islamic Republic of Iran",IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Iran,Government,Iran,Direct financial support,2021,,"956,384.70",2021,0.00,"956,384.70",USD
Respuesta ante la crisis del COVID-19 en Venezuela- Alimenta La Solidaridad,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,"Venezuela, Bolivarian Republic of",Government,"Venezuela, Bolivarian Republic of",Direct financial support,2020,,"384,709.67",2020,0.00,"384,709.67",USD
Response to the COVID-19 crisis: Support to maternal health in Yemen,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Yemen,Government,Yemen,Direct financial support,2020,,"11,381,310.07",2020,0.00,"11,381,310.07",USD
"Strengthening the resilience of Communities (in Livelihoods, Health and Education) in Eastern Uganda amidst the COVID-19 Pandemic",IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Uganda,Government,Uganda,Direct financial support,2020,,"61,443.95",2020,0.00,"61,443.95",USD
Convention OMS - Appui au contrle de lépidémie de COVID-19 au Cameroun,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Cameroon,Government,Cameroon,Direct financial support,2020,,"619,737.29",2020,0.00,"619,737.29",USD
Strengthening Civil Societys Capacity to alleviate the impact of COVID-19 on vulnerable communities in Barbados and the Eastern Caribbean,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Caribbean,Other,Caribbean,Direct financial support,2021,,"53,376.32",2021,0.00,"53,376.32",USD
Mitigating the health effects of COVID-19 emergency in Afghanistan,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Afghanistan,Government,Afghanistan,Direct financial support,2021,,"7,129,390.90",2021,0.00,"7,129,390.90",USD
Health support in response to COVID-19 in Timor-Leste,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Timor-Leste,Government,Timor-Leste,Direct financial support,2021,,"1,642,979.26",2021,0.00,"1,642,979.26",USD
"Projet dappui à la gestion des rumeurs, diffusion dinformations fiables et au renforcement de la  cohésion sociale en Guinée dans le contexte de la réponse au COVID-19",IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Guinea,Government,Guinea,Direct financial support,2021,,"98,171.17",2021,0.00,"98,171.17",USD
Surveillance COVID et résilience du système de santé - OMS,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Niger,Government,Niger,Direct financial support,2021,,"782,223.99",2021,0.00,"782,223.99",USD
Aplana la Curva: Plan de acción y respuesta para Covid-19,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,"Venezuela, Bolivarian Republic of",Government,"Venezuela, Bolivarian Republic of",Direct financial support,2021,,"478,173.61",2021,0.00,"478,173.61",USD
"Providing emergency Mental Health and Psychosocial on-call support for the host community, migrants and refugees in Cairo, in the frame of the COVID19 pandemic.",IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Egypt,Government,Egypt,Direct financial support,2020,,"45,730.73",2020,0.00,"45,730.73",USD
Strengthening resilience of older persons and persons with disabilities during COVID-19 and future disasters,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Europe,Other,Europe,Direct financial support,2020,,"559,995.06",2020,0.00,"559,995.06",USD
"Global (Jordan, Liberia, Uganda, Zambia): Pandemic Preparedness and Response: Strengthening National Legal and Policy Frameworks to Address Public Health Emergencies, Including COVID-19",IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,International Development Law Organization (IDLO),Organization,International Development Law Organization (IDLO),Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020 - 2021,,"117,039.00",2020 - 2021,0.00,"117,039.00",USD
The Joint Executive Program to Support the Humanitarian Response Plan in Yemen 2020 Preparedness and Planning for the Response to COVID-19 Phase I.,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,King Salman Humanitarian Aid and Relief Centre,Other,King Salman Humanitarian Aid and Relief Centre,Yemen,Government,Yemen,Direct financial support,2020,,"10,000,000.00",2020,0.00,"10,000,000.00",USD
The Joint Executive Program to Support the Humanitarian Response Plan in Yemen 2020 Preparedness and Planning for Responding COVID-19 Pandemic Phase II,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,King Salman Humanitarian Aid and Relief Centre,Other,King Salman Humanitarian Aid and Relief Centre,Yemen,Government,Yemen,Direct financial support,2020,,"3,000,000.00",2020,0.00,"3,000,000.00",USD
"The Joint Executive Program to Support the Humanitarian Response Plan in Yemen 2020 Mal Emergency Response to the Novel Coronavirus (COVID-19) pandemic in the targeted health facilities in the southern governorates (Aden, Lahj, Abyan, Al Dhale'e, Shabwah, Mahra, Hadramawt Al Sahel, Hadramout Al Wadi, Taiz, Socotra).",IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,King Salman Humanitarian Aid and Relief Centre,Other,King Salman Humanitarian Aid and Relief Centre,Yemen,Government,Yemen,Direct financial support,2020,,"4,000,000.00",2020,0.00,"4,000,000.00",USD
Supporting the Republic of Sudan with preventive medical supplies to confront the Corona Virus Covid-19,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,King Salman Humanitarian Aid and Relief Centre,Other,King Salman Humanitarian Aid and Relief Centre,Sudan,Government,Sudan,Direct financial support,2020,,"1,066,667.00",2020,0.00,"1,066,667.00",USD
COVID-19 SunFunder Guarantee,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Sub-Saharan Africa,Other,Sub-Saharan Africa,Direct financial support,2020,,"1,189,837.13",2020,0.00,"1,189,837.13",USD
Coronavirus Prevention training to rural villages,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,India,Government,India,Direct financial support,2020,,179.00,2020,0.00,179.00,USD
COVID-19 African Economic Research Consortium (AERC)       2015-2020,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Africa,Other,Africa,Direct financial support,2020,,"2,551,657.49",2020,0.00,"2,551,657.49",USD
COVID-19 UNICEF Humanitarian Support 2018-2021,IATI Registry,,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Somalia,Government,Somalia,Direct financial support,2020,,"426,454.05",2020,0.00,"426,454.05",USD
H2H fund mechanism - Analysis of logistics environment in COVID context,IATI Registry,,2019-2021 COVID-19 Pandemic,Handicap International Federation,Organization,Handicap International Federation,Democratic Republic of the Congo,Government,Democratic Republic of the Congo,Direct financial support,2020,,"117,868.24",2020,0.00,"117,868.24",USD
COVID-19 Aid for Education in Afghanistan,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,Afghanistan,Government,Afghanistan,Direct financial support,2021,,"28,986.00",2021,0.00,"28,986.00",USD
Womens Safety in the Context of COVID-19 Epidemic,IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Russian Federation,Government,Russian Federation,Direct financial support,2020,,"57,383.08",2020,0.00,"57,383.08",USD
Covid-19 & Preventing Homelessness for Veterans,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,United Kingdom,Government,United Kingdom,Direct financial support,2021,,"6,533.00",2021,0.00,"6,533.00",USD
Mitigating the impact of COVID-19 by increasing childrens access to justice in Mongolia,IATI Registry,,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Mongolia,Government,Mongolia,Direct financial support,2021,,"213,249.54",2021,0.00,"213,249.54",USD
Urgent Needs for Children Affected by COVID-19,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,United States of America,Government,United States of America,Direct financial support,2021,,"19,990.00",2021,0.00,"19,990.00",USD
Gleaners Community Food Bank COVID-19 Response,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,United States of America,Government,United States of America,Direct financial support,2021,,"42,261.00",2021,0.00,"42,261.00",USD
Covid-19 Treatment for Frontline Health Workers,IATI Registry,,2019-2021 COVID-19 Pandemic,GlobalGiving.org,Organization,GlobalGiving.org,Nepal,Government,Nepal,Direct financial support,2021,,"3,972.00",2021,0.00,"3,972.00",USD
